Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost
16,Miami,2023-12-22 00:00:00,2024-01-17,26,Jessica Cooper,44,Female,American,Airbnb,152.72630241206576,Boat,563.95
18,Lima,2024-11-17 00:00:00,2024-12-02,15,Stephen Moreno,80,Female,Greek,Hotel,383.85313569259995,Car rental,1351.79
19,Amsterdam,2024-08-15 00:00:00,2024-09-12,28,Marcus Bell,49,Male,Spanish,Hotel,486.35951288203296,Car rental,1357.86
20,Rome,2023-07-06 00:00:00,2023-07-27,21,Robert Gonzalez,68,Male,Irish,Airbnb,133.81166850283114,Plane,80.01
21,Lisbon,2024-08-02 00:00:00,2024-08-13,11,Martin Hughes,49,Male,German,Airbnb,117.15344781781644,Train,1331.58
22,London,2023-04-24 00:00:00,2023-05-17,23,Jessica Erickson,39,Male,Spanish,Airbnb,153.9535576830252,Boat,860.94
23,Lima,2024-03-04 00:00:00,2024-03-12,8,Sharon Richmond,26,Female,Thai,Resort,1281.1737723076837,Plane,668.79
24,Prague,2023-08-18 00:00:00,2023-08-25,7,Natalie Smith,20,Female,Emirati,Villa,2685.813412568905,Car rental,
25,Oslo,27-07-2023,2023-08-20,24,Mrs. Stephanie Merritt,73,Female,Dutch,Guesthouse,112.95897564178799,Plane,920.32
26,Singapore,2023-06-19 00:00:00,,14,Ryan Silva,19,Female,Portuguese,Hotel,457.7608640606718,Plane,812.45
27,Bangkok,2023-09-28 00:00:00,2023-10-16,18,Colleen Carson,26,Male,Portuguese,Hostel,38.78631339281134,Boat,867.08
28,Sydney,2023-03-01 00:00:00,2023-03-12,11,Mark Morales III,57,Male,French,Resort,1453.68206212218,Plane,837.25
29,Barcelona,2023-04-23 00:00:00,2023-05-12,19,Brandy Franklin,80,Male,Japanese,Airbnb,124.39408206288826,Boat,946.56
30,Athens,2024-04-14 00:00:00,2024-05-02,18,Wayne Bentley,34,Male,South Korean,Resort,878.5623936781495,Plane,462.16
31,Toronto,2024-04-17 00:00:00,2024-05-01,14,Susan Rodriguez,58,Male,Mexican,Guesthouse,138.7505328220298,Car rental,1119.78
32,Berlin,2023-06-06 00:00:00,2023-06-25,19,Dustin Bolton,49,Male,German,Airbnb,206.35820221757714,Bus,558.69
33,Dublin,2024-05-08 00:00:00,2024-05-17,9,Jessica Sanchez,57,Male,Thai,Airbnb,243.33324131471386,Boat,1140.19
34,Tokyo,2024-04-08 00:00:00,2024-04-27,19,Angela Tyler,75,Female,Dutch,Hotel,272.3389009274734,Boat,53.98
35,Dubai,2024-05-03 00:00:00,2024-05-07,4,Eric Bennett,33,Male,Singaporean,Airbnb,254.52950193884908,Plane,866.69
36,Rome,2024-08-01 00:00:00,2024-08-25,24,Yvonne Wood,31,Male,Mexican,Airbnb,157.27799666536848,Plane,1155.04
37,Seoul,2024-06-06 00:00:00,2024-06-16,10,Matthew Whitehead,47,Female,French,Guesthouse,108.45446776118115,Boat,684.28
38,Cairo,2023-11-04 00:00:00,2023-11-18,14,Brian Rodriguez,27,Male,British,Hostel,56.964234839482096,Car rental,1056.97
39,Seoul,2023-07-10 00:00:00,2023-07-30,20,Kimberly Benson,19,Female,Canadian,Hostel,46.80486154701092,Bus,592.1
40,Amsterdam,2024-08-10 00:00:00,2024-08-22,12,Ann Henry MD,43,Male,Russian,Hotel,319.1222596313542,Plane,976.3
41,London,2024-08-01 00:00:00,2024-08-23,22,Mr. Timothy Newman,67,Male,American,Villa,4987.332588071948,Car rental,1101.17
42,Singapore,2024-09-28 00:00:00,2024-10-19,21,Carmen Compton,56,Female,Thai,Resort,1334.3239578124812,Boat,423.07
43,Amsterdam,2024-02-26 00:00:00,2024-03-21,24,Timothy Lane,38,Female,Italian,Villa,3961.337016988422,Bus,420.21
44,Miami,2023-05-20 00:00:00,2023-06-18,29,Victoria Jarvis,20,Female,Irish,Resort,1287.018359241343,Bus,338.08
45,Istanbul,2023-09-21 00:00:00,2023-10-16,25,Nicole Edwards,61,Male,Spanish,Hostel,89.23267638917446,Car rental,779.85
46,Prague,2023-08-28 00:00:00,2023-09-07,10,Nicholas Richardson,35,Male,Brazilian,Hostel,83.57863048484386,Plane,369.31
47,Lisbon,2024-08-05 00:00:00,2024-08-23,18,Timothy Boyd,56,Female,Irish,Hotel,462.7716572305231,Bus,1368.41
48,Sydney,2024-09-23 00:00:00,2024-10-10,17,Teresa Garner,58,Male,Singaporean,Hotel,406.5705404312405,Plane,70.3
49,Amsterdam,2024-10-11 00:00:00,2024-10-30,19,Bradley Hardin,78,Male,Emirati,Guesthouse,102.82946258352766,Bus,595.69
50,Rome,2023-08-11 00:00:00,2023-08-18,7,Darren Rojas,74,Female,Spanish,Hotel,298.93423466903107,Plane,
51,Singapore,2023-07-22 00:00:00,2023-08-01,10,Kyle Sanford,78,Female,British,Hostel,83.27412466647206,Train,526.24
52,Sydney,2024-06-09 00:00:00,2024-06-13,4,Anne Jackson,45,Male,Italian,Guesthouse,70.66069696632854,Boat,1176.34
53,Lisbon,2024-07-27 00:00:00,2024-07-30,3,Robert Henry,26,Female,Mexican,Hostel,96.46315921790311,Train,1178.13
54,Cape Town,2023-10-12 00:00:00,2023-10-31,19,Megan Alvarado,59,Female,Mexican,Resort,990.4304232358627,Bus,858.25 USD
55,Barcelona,2023-06-24 00:00:00,2023-07-10,16,Alexandra Hampton,45,Male,Italian,Villa,4359.6963969635235,Car rental,185.53 USD
56,Sydney,2024-06-09 00:00:00,2024-06-14,5,George Allen,37,Female,German,Hotel,433.6164360041989,Bus,612.91
57,Rome,2023-09-04 00:00:00,2023-09-19,15,Tonya Brooks,35,Female,Norwegian,Hostel,64.34253035500512,Car rental,715.01
58,Tokyo,2024-11-22 00:00:00,2024-12-13,21,Patricia Rowe,33,Male,British,Hostel,68.86075827975287,Car rental,1158.05
59,Seoul,2023-12-24 00:00:00,2024-01-12,19,Michael Villa,33,Male,Japanese,Guesthouse,85.56163080919414,Plane,1223.09
60,Rome,2024-09-11 00:00:00,,26,Ryan Cordova,49,Female,Argentinian,Hostel,39.560260581344835,Boat,939.52
61,Miami,2023-10-23 00:00:00,2023-11-16,24,Ryan White,21,Female,Turkish,Hotel,321.68363185979956,Plane,664.9
63,Seoul,2024-12-09 00:00:00,2025-01-03,25,Anthony Gonzales,60,Male,Singaporean,Hotel,367.2656570855203,Car rental,897.6
64,Amsterdam,04-11-2023,2023-11-23,19,Christine Brown,43,Male,British,Hotel,463.04965681594643,Bus,97.59
65,Lisbon,2024-03-05 00:00:00,2024-04-01,27,Ernest Day,65,Male,Turkish,Hostel,41.90606021396218,Boat,676.95
66,Barcelona,2023-06-05 00:00:00,2023-06-27,22,Ashley Fox,23,Female,Italian,Airbnb,141.22192142795885,Car rental,643.9
67,Istanbul,2023-05-13 00:00:00,2023-05-19,6,Dr. Tamara Wright,27,Female,Japanese,Hotel,381.3272030889723,Car rental,691.98
68,Cairo,2024-11-27 00:00:00,2024-12-15,18,Troy Mcdonald,50,Female,Turkish,Guesthouse,52.42150975300872,Car rental,148.02 USD
69,Zurich,2023-07-24 00:00:00,2023-08-12,19,Elizabeth Tyler,58,Female,Australian,Hotel,396.59893986903035,Bus,696.48
70,Los Angeles,2024-09-10 00:00:00,2024-09-22,12,Joseph Burns,63,Female,Russian,Hotel,369.89637267258354,Car rental,488.09
71,New York,2024-01-06 00:00:00,2024-01-25,19,Jorge Smith,45,Female,Australian,Airbnb,274.23683443456207,Plane,1288.05
72,Sydney,2024-04-14 00:00:00,2024-04-28,14,Tony Hodges,23,Female,Singaporean,Airbnb,218.17062180388046,Train,1434.69
73,Barcelona,2024-08-13 00:00:00,2024-09-07,25,Lindsay Hill,46,Male,French,Villa,2967.0087365574573,Bus,1335.53
74,New York,2024-01-11 00:00:00,2024-02-02,22,Alexandra Schwartz,76,Female,Singaporean,Airbnb,229.91550205571548,Bus,824.44
75,London,2024-08-16 00:00:00,2024-09-08,23,Mrs. Meagan English,59,Female,Singaporean,Hotel,423.9955137314919,Plane,718.34
76,Bangkok,2024-08-14 00:00:00,2024-08-27,13,Bryan Thompson,47,Female,French,Hotel,274.39716429438374,Boat,1468.4
77,Dublin,2023-07-12 00:00:00,2023-08-02,21,Elizabeth Davenport,40,Male,Indonesian,Hostel,80.35280498673359,Bus,1051.13
78,Paris,2023-06-13 00:00:00,2023-06-22,9,Stephanie Lopez,33,Male,Canadian,Hotel,474.98860229269235,Bus,1343.19
79,New York,2024-10-07 00:00:00,2024-11-02,26,Mary Wheeler,61,Female,French,Guesthouse,69.10491616473159,Train,"1,163.92 USD"
80,Toronto,2023-08-11 00:00:00,2023-08-31,20,Oscar Holt,27,Female,Greek,Hotel,248.18605621398603,Bus,918.6
81,Los Angeles,2024-03-03 00:00:00,2024-03-22,19,Jesse Tran,53,Male,Mexican,Hostel,97.45883920111831,Train,422.51
82,Toronto,2024-11-07 00:00:00,2024-11-13,6,Vickie Waters,48,Male,French,Hotel,265.701386212573,Plane,1109.48
83,Barcelona,2024-09-12 00:00:00,2024-09-23,11,Tracy Becker,73,Female,Turkish,Airbnb,183.2632354492273,Bus,"1,312.09 USD"
84,Athens,2024-06-04 00:00:00,2024-06-23,19,Dave Wright,68,Female,Brazilian,Hotel,280.5729572414808,Train,1435.76
85,Singapore,2024-07-01 00:00:00,2024-07-08,7,Vanessa Owen,52,Female,Italian,Guesthouse,55.881759496578184,Bus,102.66
86,Lisbon,2024-11-03 00:00:00,2024-11-06,3,Yolanda Barrett,36,Female,Italian,Airbnb,299.01623762834345,Bus,326.81
87,New York,2024-01-11 00:00:00,2024-02-02,22,Jonathan Anderson,46,Male,Japanese,Hostel,81.16216369982241,Bus,264.2
88,Dubai,2024-09-03 00:00:00,,6,Melissa Mccoy,47,Male,South Korean,Airbnb,239.50484343429943,Plane,143.37
89,Cairo,2023-12-05 00:00:00,2023-12-21,16,Richard Coffey,77,Male,Thai,Hotel,201.03486717761814,Train,1276.27
90,New York,2024-07-02 00:00:00,2024-07-27,25,Craig Snow,42,Female,Argentinian,Hotel,229.6696417216853,Plane,752.84
91,Toronto,22-09-2023,2023-10-15,23,Danielle Townsend,46,Male,Japanese,Hostel,64.10498514292397,Bus,701.34
92,Prague,2023-07-03 00:00:00,2023-07-20,17,Monica Robinson,57,Male,Emirati,Hostel,76.33098190390014,Boat,136.2 USD
93,Singapore,2023-12-02 00:00:00,2023-12-31,29,Malik Hogan,18,Female,Spanish,Guesthouse,112.82854065004855,Boat,1275.97
94,Dublin,2024-03-22 00:00:00,2024-04-14,23,Jessica French,21,Female,American,Guesthouse,109.39059570142368,Boat,442.46
95,Barcelona,2023-07-04 00:00:00,2023-07-29,25,Rebecca Adkins,47,Female,Emirati,Hotel,276.6130941481368,Train,1126.19
96,Sydney,23-09-2023,2023-10-11,18,Joanne Lynch,51,Male,Egyptian,Hotel,339.9472575533448,Boat,978.1
97,Rome,2023-07-24 00:00:00,2023-08-06,13,Adrienne Ford,62,Male,American,Villa,3693.607045252679,Plane,80.9
98,Singapore,2024-08-25 00:00:00,2024-09-07,13,Juan Peterson,53,Male,Japanese,Hotel,243.67377786714005,Bus,50.54 USD
99,Barcelona,2024-06-22 00:00:00,2024-07-05,13,Amy Bennett,68,Female,Irish,Villa,4487.238289825662,Car rental,88.79
100,New York,2023-09-25 00:00:00,2023-10-11,16,Steven Russell,20,Male,Irish,Airbnb,155.063865842864,Car rental,349.04
101,Toronto,2023-11-19 00:00:00,2023-12-12,23,William Navarro,34,Female,Egyptian,Hotel,474.1132573163292,Boat,463.88
102,Athens,2023-08-06 00:00:00,2023-08-30,24,Bobby Gardner,34,Male,Singaporean,Airbnb,132.42147042166985,Train,521.29
103,Berlin,2024-08-05 00:00:00,2024-08-22,17,Colleen Mejia,20,Female,Irish,Resort,1404.0095133926066,Boat,1018.94
104,Bangkok,2024-07-01 00:00:00,2024-07-06,5,Samuel Frazier,47,Female,Thai,Airbnb,277.88468492557763,Bus,716.14
105,Amsterdam,2024-05-04 00:00:00,2024-05-14,10,Barry Livingston,39,Female,Italian,Airbnb,170.99705502900937,Car rental,1447.35
106,London,2024-06-19 00:00:00,2024-07-03,14,Joseph Weber,43,Female,Portuguese,Hotel,325.8502967578345,Bus,197.98
107,Amsterdam,2024-05-13 00:00:00,2024-05-18,5,Cassandra Garcia,61,Male,Australian,Airbnb,251.27055368926642,Plane,1446.05
108,Miami,2023-11-06 00:00:00,2023-11-16,10,David Morris,47,Female,South Korean,Hostel,97.75862287853589,Train,664.71
109,Berlin,2023-08-25 00:00:00,2023-09-12,18,Ryan Howell,38,Female,Australian,Hostel,43.120362894694914,Car rental,201.49
110,Dubai,2024-07-24 00:00:00,2024-08-09,16,Rachel Nixon,67,Male,Irish,Hotel,372.04266522310365,Car rental,1130.35
111,Dubai,2023-11-13 00:00:00,2023-12-08,25,Laura Johnson,51,Male,Thai,Airbnb,110.19424133133509,Boat,285.93
112,Sydney,2023-07-16 00:00:00,2023-07-31,15,Mario Dunn,21,Female,Singaporean,Airbnb,237.309519944757,Plane,1247.37
113,Dubai,2024-07-04 00:00:00,2024-07-15,11,Tyler Clark,46,Female,Emirati,Airbnb,147.0672773869784,Train,142.87
114,Bangkok,2024-06-11 00:00:00,2024-06-28,17,Mario Martin,73,Female,German,Hostel,67.19431324159467,Train,1041.95
115,Sydney,2024-07-24 00:00:00,2024-08-15,22,Chad Osborne,30,Male,American,Hotel,205.04584657344336,Boat,1045.15
116,Berlin,2023-09-14 00:00:00,2023-10-01,17,Kendra Tucker,66,Female,Italian,Hostel,43.69984645657395,Train,842.9
117,Singapore,2023-10-26 00:00:00,2023-11-17,22,Deborah Wilson,65,Male,Portuguese,Riyad,6279.2630572417065,Train,771.84
118,Cape Town,08-08-2024,2024-08-23,15,Kelly Sheppard,59,Male,French,Hotel,210.8631410717103,Car rental,251.51
119,Seoul,2024-08-13 00:00:00,2024-08-16,3,Adam Figueroa,50,Male,Vietnamese,Airbnb,192.1165678658419,Car rental,1217.47
120,Istanbul,2024-06-11 00:00:00,2024-07-06,25,Stephanie Harris,26,Male,South Korean,Hotel,490.6748161388637,Boat,229.96
121,Seoul,04-05-2023,2023-05-15,11,Aaron Allen,66,Male,Italian,Guesthouse,89.03408592513577,Car rental,382.42
122,Sydney,2024-06-28 00:00:00,2024-07-24,26,Rachel Gibson,32,Female,Japanese,Hotel,226.44893019835172,Train,377.44
123,Tokyo,2024-05-05 00:00:00,,20,Cory Gonzalez,29,Female,Thai,Airbnb,200.03003808094343,Boat,1299.74
124,Bangkok,2024-05-16 00:00:00,2024-06-02,17,Sarah Rogers,20,Male,Singaporean,Airbnb,177.25270149844408,Plane,171.38
125,Sydney,2023-08-23 00:00:00,2023-09-10,18,Jessica Garza,58,Male,German,Resort,884.3739347189339,Bus,342.4
126,Barcelona,2024-07-28 00:00:00,2024-07-31,3,Robert Davis,38,Male,Australian,Airbnb,159.43744138782353,Car rental,642.98
127,Singapore,2023-07-15 00:00:00,2023-07-27,12,Robin Edwards,21,Female,British,Hotel,373.203283292597,Plane,1393.85
128,Rome,2024-07-10 00:00:00,2024-08-01,22,Marcia Medina,72,Male,Japanese,Resort,1144.2581651181672,Train,215.27
129,Sydney,2023-07-14 00:00:00,2023-07-28,14,Jordan Campbell,59,Male,Turkish,Hotel,422.4862144488694,Train,285.56
130,Paris,2024-03-10 00:00:00,2024-04-04,25,Joshua Hudson,49,Male,Canadian,Hotel,263.8697307403628,Plane,380.32
131,Los Angeles,10-01-2024,2024-01-18,8,Kathleen Williams,27,Male,Norwegian,Hostel,98.54035546946172,Plane,551.93
132,Amsterdam,2023-05-01 00:00:00,2023-05-18,17,Luis Barrett,64,Female,Brazilian,Guesthouse,131.37205456697336,Car rental,1388.7
133,Istanbul,2023-08-11 00:00:00,2023-08-24,13,Michael Barnett,25,Female,Brazilian,Hostel,43.895526968317775,Plane,114.37
134,Lima,2024-01-08 00:00:00,2024-01-31,23,Rhonda Bush,54,Male,Thai,Resort,1046.4271560681852,Bus,38.86
135,Bangkok,2023-06-17 00:00:00,2023-06-24,7,Deborah Cook,20,Male,Brazilian,Villa,4698.675140205069,Bus,127.18
136,Miami,2024-09-06 00:00:00,2024-09-13,7,Dr. Stephen White,67,Female,French,Airbnb,189.05587248184665,Car rental,40.08
137,Paris,2023-08-26 00:00:00,2023-09-08,13,Kyle Bell,50,Male,Greek,Hostel,52.9107450764654,Car rental,756.46
138,Oslo,2023-10-05 00:00:00,2023-10-21,16,Tracie Moore,20,Male,Egyptian,Airbnb,110.86294839962633,Car rental,510.58
139,Barcelona,2023-11-03 00:00:00,2023-11-24,21,Alex Blackburn,39,Male,Thai,Airbnb,128.5103919521843,Plane,1186.27
140,Lima,2023-05-22 00:00:00,2023-05-29,7,Samuel Wright,63,Female,Argentinian,Resort,1149.8991138232943,Boat,1333.7
141,New York,2024-06-16 00:00:00,2024-07-07,21,Sara Davis,46,Female,French,Hotel,315.9291021633697,Car rental,1484.23
142,Dubai,2024-09-12 00:00:00,2024-10-02,20,Amanda Robinson,36,Female,Dutch,Airbnb,240.45201118291104,Train,281.66
143,Miami,2023-02-24 00:00:00,2023-03-06,10,Lisa Vazquez,79,Male,Mexican,Guesthouse,92.8183890635392,Boat,244.17
144,Lisbon,2023-08-08 00:00:00,2023-08-25,17,Craig Moses,72,Female,Mexican,Guesthouse,125.94651001688646,Bus,786.97
145,London,2023-04-18 00:00:00,2023-05-06,18,Daniel Ryan,34,Male,Irish,Guesthouse,101.12303072995817,Car rental,117.16
146,New York,2024-12-21 00:00:00,2024-12-24,3,Francisco Clark MD,45,Male,Mexican,Airbnb,191.18556689719054,Car rental,1413.67
147,Amsterdam,2024-04-18 00:00:00,,25,Mark Rogers,42,Female,Italian,Hotel,207.43878189716472,Bus,44.6
148,Singapore,2023-07-25 00:00:00,2023-08-17,23,Maria Leach,56,Female,Singaporean,Hostel,94.8663405163426,Train,1334.52
149,Sydney,27-09-2024,2024-10-02,5,Christopher Moran,72,Male,Spanish,Resort,957.7824922604923,Train,1114.47
151,Seoul,2023-07-04 00:00:00,2023-07-17,13,Barbara Davis,19,Male,Singaporean,Airbnb,158.33570199870957,Boat,737.33
152,Berlin,2023-07-16 00:00:00,,22,Christine White,45,Male,Singaporean,Guesthouse,115.92231188606529,Plane,274.16
153,Barcelona,2024-10-05 00:00:00,2024-10-25,20,Shannon Wang,52,Male,Turkish,Hotel,438.7259747539845,Plane,149.39
154,Dubai,2024-08-02 00:00:00,2024-08-24,22,Michele Curry,63,Male,Singaporean,Airbnb,299.81394382697647,Boat,313.17
155,London,2024-06-05 00:00:00,2024-06-17,12,Kayla Barrett,70,Female,Mexican,Hostel,50.89029744821512,Bus,364.65
157,Amsterdam,2023-06-05 00:00:00,2023-06-27,22,Laura Alexander,37,Male,Italian,Hotel,265.96747593324966,Plane,724.32
158,Berlin,2023-03-13 00:00:00,2023-04-01,19,Shannon Martinez,32,Male,French,Hotel,219.76040334184287,Bus,1246.98
159,Jakarta,2023-07-27 00:00:00,2023-08-14,18,Marissa Kennedy,61,Female,Italian,Hotel,410.0262045866484,Boat,38.0
160,Amsterdam,2023-04-12 00:00:00,2023-05-03,21,Heather King,72,Male,Egyptian,Hostel,66.40968930117262,Train,1397.8
161,Istanbul,2024-03-28 00:00:00,2024-04-11,14,Laura King,52,Female,Spanish,Hotel,295.2893614402701,Bus,554.79
162,Buenos Aires,2024-12-25 00:00:00,2025-01-01,7,John Garcia,80,Female,Irish,Airbnb,181.31902666608804,Boat,107.12
163,Prague,2023-06-07 00:00:00,2023-06-23,16,Ryan Day,20,Male,Italian,Airbnb,118.34764255398738,Boat,519.34
164,London,2023-08-14 00:00:00,2023-09-08,25,David Smith,68,Male,Japanese,Airbnb,252.13322996934627,Car rental,86.93 USD
165,Prague,2024-02-08 00:00:00,2024-02-26,18,Mary Wilson,68,Female,Canadian,Villa,3654.2006413126273,Plane,1492.73
167,Toronto,2024-06-11 00:00:00,2024-06-19,8,Glenn Herrera,19,Female,Italian,Villa,2739.663612915009,Bus,520.14
168,Cairo,2023-09-22 00:00:00,2023-10-08,16,Ashley Spencer,59,Male,British,Guesthouse,91.31436769331233,Plane,761.77
169,Dubai,2023-03-09 00:00:00,2023-03-17,8,Julia Peters,32,Male,Brazilian,Hostel,86.55701220817159,Bus,631.24
170,Tokyo,2023-07-27 00:00:00,2023-08-18,22,Vicki Massey,67,Female,Emirati,Hostel,71.73472404615795,Boat,1324.25
171,Bangkok,2023-05-17 00:00:00,2023-05-31,14,Roy Pearson,79,Male,Italian,Hotel,305.5775903262132,Plane,932.41
173,Berlin,2024-07-05 00:00:00,2024-07-31,26,Kevin Edwards,27,Male,British,Hostel,30.141776790738362,Train,581.72
174,Lisbon,2023-10-14 00:00:00,2023-11-05,22,Donna Buck,32,Female,Brazilian,Hotel,474.82878523041614,Bus,890.59
175,London,25-07-2024,2024-08-13,19,Heather Pierce,59,Female,French,Airbnb,145.79422499185694,Train,548.18
176,Athens,2024-07-04 00:00:00,2024-07-29,25,Ricardo Carpenter,52,Male,Japanese,Hotel,466.47263969671593,Plane,1287.28
177,Athens,2024-05-25 00:00:00,2024-06-21,27,Julia Baxter,38,Female,American,Guesthouse,128.01292115046306,Boat,1076.88
178,Singapore,2024-11-01 00:00:00,2024-11-12,11,Mark Sims,63,Female,Italian,Airbnb,157.201147504542,Train,1035.47
179,Sydney,2024-05-17 00:00:00,2024-06-07,21,Jennifer Strickland,52,Male,British,Hotel,372.2775613666996,Car rental,1493.69
180,Sydney,2023-03-08 00:00:00,2023-03-30,22,Nathaniel Freeman,35,Female,American,Guesthouse,89.18686451511815,Bus,1065.96
181,London,2024-06-07 00:00:00,2024-06-17,10,Elaine Porter,67,Female,Emirati,Villa,2271.402413285204,Bus,309.56 USD
182,New York,2024-09-11 00:00:00,2024-10-05,24,Kim Garcia,78,Male,Turkish,Hostel,30.46360999399778,Bus,247.45
183,Cape Town,2024-04-02 00:00:00,2024-04-21,19,Matthew Little,72,Male,Singaporean,Hostel,80.82876282197753,Bus,1189.86
184,Prague,2024-09-07 00:00:00,2024-09-17,10,Karen Price,64,Male,South Korean,Airbnb,132.97577854441022,Train,974.27
185,Paris,2023-02-11 00:00:00,2023-02-17,6,Kim Munoz,68,Male,Turkish,Hostel,66.55922753525937,Car rental,752.36
186,Moscow,2024-10-04 00:00:00,2024-10-21,17,Anthony Leonard,61,Male,Turkish,Hotel,306.878166282719,Boat,787.23
187,Miami,2024-07-14 00:00:00,2024-08-07,24,Christine Arnold,74,Female,Canadian,Hotel,217.87311634979608,Plane,654.06
188,London,2023-06-28 00:00:00,2023-07-26,28,Mia Bryant,56,Female,South African,Guesthouse,67.27683065033114,Car rental,156.75
189,Singapore,2023-07-28 00:00:00,2023-08-16,19,Catherine Hill,67,Male,Irish,Resort,1044.1989388678728,Car rental,291.51
190,Singapore,2024-08-22 00:00:00,2024-09-17,26,Joseph Bennett,45,Female,Portuguese,Guesthouse,81.24467484279486,Boat,875.79
191,Berlin,2023-10-28 00:00:00,2023-11-21,24,Matthew Butler,61,Female,Dutch,Hostel,51.578344184854686,Train,830.3
192,Cape Town,05-09-2023,2023-10-01,26,Jessica Irwin,67,Female,Mexican,Hotel,309.37898607385057,Boat,
193,Los Angeles,2024-10-14 00:00:00,2024-10-21,7,Ralph Parks,78,Female,South Korean,Hostel,68.28253585894181,Bus,1093.27
194,Athens,2023-07-07 00:00:00,2023-08-06,30,Kyle Maldonado,74,Female,Mexican,Hotel,453.2603971883477,Train,986.42
195,Oslo,2023-07-10 00:00:00,2023-07-29,19,Deborah Evans,56,Female,French,Hostel,86.15357076746477,Car rental,187.2
196,Amsterdam,2024-09-16 00:00:00,2024-09-22,6,Courtney Finley,61,Female,Indonesian,Airbnb,234.3155699615317,Bus,1112.56
197,Los Angeles,2024-07-03 00:00:00,2024-07-20,17,Andrew Smith,64,Female,German,Hostel,65.75312757297249,Train,112.17
198,Amsterdam,2023-09-12 00:00:00,2023-10-01,19,George Miller,71,Female,Norwegian,Hotel,398.8352888020753,Train,"1,049.24 USD"
199,Bangkok,2023-05-09 00:00:00,2023-05-26,17,Richard Patel,34,Male,Portuguese,Resort,957.3097049820329,Car rental,1018.19
200,Singapore,2023-08-09 00:00:00,2023-09-01,23,Daniel Miller,62,Female,British,Hotel,490.83797955369045,Train,402.18
201,Los Angeles,16-09-2023,2023-10-09,23,Mr. Matthew Gardner,34,Female,Portuguese,Hostel,73.91217346706179,Bus,1216.53
202,New York,2024-09-14 00:00:00,2024-10-12,28,Karen Conrad,31,Male,Irish,Hostel,44.878205127274114,Plane,1276.98
203,Miami,2024-08-23 00:00:00,2024-09-08,16,Meghan Henry,32,Male,South Korean,Hotel,285.6006845246064,Train,591.4
204,Berlin,2023-06-13 00:00:00,2023-07-07,24,Katie Klein,60,Male,Japanese,Hotel,409.6423288782877,Car rental,1351.6
205,Prague,2023-08-03 00:00:00,2023-08-17,14,Angela Reed,50,Male,Spanish,Hotel,268.82205430538875,Bus,462.62
206,Istanbul,2024-06-07 00:00:00,2024-06-12,5,Mrs. Jessica Fry MD,44,Female,British,Resort,896.5287184774821,Plane,1009.66
207,Toronto,2023-08-06 00:00:00,2023-08-22,16,Sarah Marquez,45,Female,German,Airbnb,278.06785074316076,Bus,975.04
208,Miami,2024-12-25 00:00:00,2025-01-11,17,Maria Campbell,28,Male,Portuguese,Airbnb,178.52775968777667,Boat,894.37
209,London,2023-11-17 00:00:00,,23,Allison Norman,58,Female,South Korean,Resort,1213.9391414178767,Boat,1010.72
